,loss,accuracy,model
150,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.88,TransductiveSuperGAT
151,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
152,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
153,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.84,TransductiveSuperGAT
154,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8433333333333334,TransductiveSuperGAT
155,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.84,TransductiveSuperGAT
156,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
157,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
158,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
159,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
160,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
161,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
162,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
163,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
164,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
165,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
166,"tensor(8.1640e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
167,"tensor(7.9761e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
168,"tensor(8.7141e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
169,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
170,"tensor(6.0492e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
171,"tensor(7.5268e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
172,"tensor(9.7245e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
173,"tensor(9.5510e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
174,"tensor(7.0194e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
175,"tensor(4.8925e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
176,"tensor(9.5026e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
177,"tensor(4.9959e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
178,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
179,"tensor(6.5368e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8866666666666667,TransductiveSuperGAT
180,"tensor(8.1652e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.88,TransductiveSuperGAT
181,"tensor(6.0610e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
182,"tensor(7.3525e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
183,"tensor(3.5821e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
184,"tensor(5.1093e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
185,"tensor(5.0427e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
186,"tensor(4.9949e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
187,"tensor(5.7302e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
188,"tensor(5.1113e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
189,"tensor(3.3306e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.88,TransductiveSuperGAT
190,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.8866666666666667,TransductiveSuperGAT
191,"tensor(7.9342e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
192,"tensor(4.4949e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
193,"tensor(3.0133e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
194,"tensor(4.4332e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
195,"tensor(4.9383e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
196,"tensor(4.0263e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.85,TransductiveSuperGAT
197,"tensor(5.6189e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
198,"tensor(3.3530e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
199,"tensor(0.0001, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
200,"tensor(2.8882e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
